2025-09-01 13:01:12,357 INFO  [org.jboss.as.server] (Thread-1) WFLYSRV0272: Suspending server
2025-09-01 13:01:12,380 INFO  [org.jboss.as.ejb3] (Thread-1) WFLYEJB0493: Jakarta Enterprise Beans subsystem suspension complete
2025-09-01 13:01:12,411 INFO  [org.jboss.as.server] (Thread-1) WFLYSRV0220: Server shutdown has been requested via an OS signal
2025-09-01 13:01:12,607 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-5) WFLYMAIL0002: Unbound mail session [java:jboss/mail/Default]
2025-09-01 13:01:12,612 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 111) WFLYUT0022: Unregistered web context: '/dcm4chee-arc/xdsi' from server 'default-server'
2025-09-01 13:01:12,614 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 114) WFLYUT0022: Unregistered web context: '/dcm4chee-proxy' from server 'default-server'
2025-09-01 13:01:12,617 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 116) WFLYUT0022: Unregistered web context: '/dcm4chee-arc' from server 'default-server'
2025-09-01 13:01:12,619 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 22) WFLYUT0022: Unregistered web context: '/dcm4chee-arc/ui2' from server 'default-server'
2025-09-01 13:01:12,620 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 115) WFLYUT0022: Unregistered web context: '/dcm4chee-arc/xsl' from server 'default-server'
2025-09-01 13:01:12,637 INFO  [org.jboss.as.webservices] (MSC service thread 1-1) WFLYWS0004: Stopping service jboss.ws.endpoint."dcm4chee-arc-ear-5.31.2-psql.ear"."dcm4chee-arc-retrieve-xdsi-5.31.2.war"."org.dcm4chee.arc.retrieve.xdsi.ImageDocumentSource"
2025-09-01 13:01:12,637 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0019: Host default-host stopping
2025-09-01 13:01:12,705 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-2) WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]
2025-09-01 13:01:12,712 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-7) WFLYJCA0019: Stopped Driver service with driver-name = h2
2025-09-01 13:01:12,724 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 119) WFLYJPA0011: Stopping Persistence Unit (phase 2 of 2) Service 'dcm4chee-arc-ear-5.31.2-psql.ear#dcm4chee-arc'
2025-09-01 13:01:12,730 INFO  [org.hibernate.orm.beans] (ServerService Thread Pool -- 119) HHH10005004: Stopping BeanContainer : org.hibernate.resource.beans.container.internal.CdiBeanContainerExtendedAccessImpl@2a32e8aa
2025-09-01 13:01:12,733 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 119) WFLYJPA0011: Stopping Persistence Unit (phase 1 of 2) Service 'dcm4chee-arc-ear-5.31.2-psql.ear#dcm4chee-arc'
2025-09-01 13:01:12,733 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-1) WFLYJCA0010: Unbound data source [java:/PacsDS]
2025-09-01 13:01:12,735 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-7) WFLYJCA0019: Stopped Driver service with driver-name = psql
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-qmgt-5.31.2.jar) in 353ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-mpps-scu-5.31.2.jar) in 348ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-metadata-5.31.2.jar) in 347ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-export-storage-5.31.2.jar) in 348ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-service-5.31.2.jar) in 348ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-qstar-scheduler-5.31.2.jar) in 348ms
2025-09-01 13:01:12,773 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-study-size-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-retrieve-5.31.2.jar) in 354ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-procedure-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-id-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-export-jivex-report-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-export-mgt-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-mpps-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-ups-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-pdq-scheduler-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-study-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-restore-5.31.2.jar) in 348ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-delete-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-stgcmt-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-compress-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-storage-ejb-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-store-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-query-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-hl7-psu-5.31.2.jar) in 349ms
2025-09-01 13:01:12,775 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-diff-5.31.2.jar) in 349ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-hl7-5.31.2.jar) in 349ms
2025-09-01 13:01:12,775 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-code-5.31.2.jar) in 349ms
2025-09-01 13:01:12,775 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-xsl-cda-5.31.2.war) in 355ms
2025-09-01 13:01:12,775 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-retrieve-mgt-5.31.2.jar) in 350ms
2025-09-01 13:01:12,775 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-retrieve-xdsi-5.31.2.war) in 350ms
2025-09-01 13:01:12,774 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-ian-scu-5.31.2.jar) in 349ms
2025-09-01 13:01:12,777 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-patient-5.31.2.jar) in 350ms
2025-09-01 13:01:12,782 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-keyvalue-5.31.2.jar) in 356ms
2025-09-01 13:01:12,782 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-proxy-5.31.2-unsecure.war) in 357ms
2025-09-01 13:01:12,783 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0008: Undertow HTTPS listener https suspending
2025-09-01 13:01:12,783 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 0.0.0.0:8443
2025-09-01 13:01:12,783 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0008: Undertow HTTP listener default suspending
2025-09-01 13:01:12,783 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 0.0.0.0:8080
2025-09-01 13:01:12,784 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0004: Undertow 2.3.10.Final stopping
2025-09-01 13:01:12,785 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-war-5.31.2-unsecure.war) in 360ms
2025-09-01 13:01:12,806 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0028: Stopped deployment dcm4chee-arc-ui2-5.31.2.war (runtime-name: dcm4chee-arc-ui2-5.31.2.war) in 333ms
2025-09-01 13:01:12,813 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0028: Stopped deployment dcm4chee-arc-ear-5.31.2-psql.ear (runtime-name: dcm4chee-arc-ear-5.31.2-psql.ear) in 339ms
2025-09-01 13:01:12,817 INFO  [org.jboss.as] (MSC service thread 1-4) WFLYSRV0050: WildFly Full 30.0.1.Final (WildFly Core 22.0.2.Final) stopped in 351ms
2025-09-01 16:17:45,429 INFO  [org.jboss.modules] (main) JBoss Modules version 2.1.2.Final
2025-09-01 16:17:45,921 INFO  [org.jboss.msc] (main) JBoss MSC version 1.5.2.Final
2025-09-01 16:17:45,928 INFO  [org.jboss.threads] (main) JBoss Threads version 2.4.0.Final
2025-09-01 16:17:46,021 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Full 30.0.1.Final (WildFly Core 22.0.2.Final) starting
2025-09-01 16:17:46,022 DEBUG [org.jboss.as.config] (MSC service thread 1-2) Configured system properties:
	[Standalone] = 
2025-09-01 19:18:30,442 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-mpps-scu-5.31.2.jar) in 173ms
2025-09-01 19:18:30,442 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-mpps-5.31.2.jar) in 175ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-study-size-5.31.2.jar) in 176ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-id-5.31.2.jar) in 175ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-qstar-scheduler-5.31.2.jar) in 179ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-export-mgt-5.31.2.jar) in 177ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-procedure-5.31.2.jar) in 179ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-ups-5.31.2.jar) in 173ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-compress-5.31.2.jar) in 176ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-restore-5.31.2.jar) in 178ms
2025-09-01 19:18:30,444 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-service-5.31.2.jar) in 173ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-retrieve-mgt-5.31.2.jar) in 174ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-metadata-5.31.2.jar) in 180ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-hl7-psu-5.31.2.jar) in 180ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-study-5.31.2.jar) in 179ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-pdq-scheduler-5.31.2.jar) in 181ms
2025-09-01 19:18:30,441 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-qmgt-5.31.2.jar) in 182ms
2025-09-01 19:18:30,445 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-delete-5.31.2.jar) in 180ms
2025-09-01 19:18:30,446 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-keyvalue-5.31.2.jar) in 178ms
2025-09-01 19:18:30,446 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-query-5.31.2.jar) in 175ms
2025-09-01 19:18:30,441 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-6) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-xsl-cda-5.31.2.war) in 182ms
2025-09-01 19:18:30,444 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-diff-5.31.2.jar) in 177ms
2025-09-01 19:18:30,443 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-stgcmt-5.31.2.jar) in 175ms
2025-09-01 19:18:30,442 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-storage-ejb-5.31.2.jar) in 172ms
2025-09-01 19:18:30,450 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-retrieve-xdsi-5.31.2.war) in 184ms
2025-09-01 19:18:30,451 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0008: Undertow HTTP listener default suspending
2025-09-01 19:18:30,451 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 0.0.0.0:8080
2025-09-01 19:18:30,453 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-4) WFLYUT0008: Undertow HTTPS listener https suspending
2025-09-01 19:18:30,454 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-4) WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 0.0.0.0:8443
2025-09-01 19:18:30,457 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-5) WFLYUT0004: Undertow 2.3.10.Final stopping
2025-09-01 19:18:30,466 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) WFLYSRV0208: Stopped subdeployment (runtime-name: dcm4chee-arc-war-5.31.2-unsecure.war) in 201ms
2025-09-01 19:18:30,470 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0028: Stopped deployment dcm4chee-arc-ui2-5.31.2.war (runtime-name: dcm4chee-arc-ui2-5.31.2.war) in 200ms
2025-09-01 19:18:30,511 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0028: Stopped deployment dcm4chee-arc-ear-5.31.2-psql.ear (runtime-name: dcm4chee-arc-ear-5.31.2-psql.ear) in 239ms
2025-09-01 19:18:30,516 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Full 30.0.1.Final (WildFly Core 22.0.2.Final) stopped in 250ms
2025-09-01 19:20:26,044 INFO  [org.jboss.modules] (main) JBoss Modules version 2.1.2.Final
2025-09-01 19:20:26,454 INFO  [org.jboss.msc] (main) JBoss MSC version 1.5.2.Final
2025-09-01 19:20:26,461 INFO  [org.jboss.threads] (main) JBoss Threads version 2.4.0.Final
2025-09-01 19:20:26,552 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0049: WildFly Full 30.0.1.Final (WildFly Core 22.0.2.Final) starting
2025-09-01 19:20:26,553 DEBUG [org.jboss.as.config] (MSC service thread 1-3) Configured system properties:
	[Standalone] = 
	file.encoding = UTF-8
	file.separator = /
	java.awt.headless = true
	java.class.path = /opt/wildfly/jboss-modules.jar
	java.class.version = 61.0
	java.home = /opt/java/openjdk
	java.io.tmpdir = /tmp
	java.library.path = /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib
	java.net.preferIPv4Stack = true
	java.runtime.name = OpenJDK Runtime Environment
	java.runtime.version = 17.0.9+9
	java.security.manager = allow
	java.specification.name = Java Platform API Specification
	java.specification.vendor = Oracle Corporation
	java.specification.version = 17
	java.util.logging.manager = org.jboss.logmanager.LogManager
	java.vendor = Eclipse Adoptium
	java.vendor.url = https://adoptium.net/
	java.vendor.url.bug = https://github.com/adoptium/adoptium-support/issues
	java.vendor.version = Temurin-17.0.9+9
	java.version = 17.0.9
	java.version.date = 2023-10-17
	java.vm.compressedOopsMode = 32-bit
	java.vm.info = mixed mode, sharing
	java.vm.name = OpenJDK 64-Bit Server VM
	java.vm.specification.name = Java Virtual Machine Specification
	java.vm.specification.vendor = Oracle Corporation
	java.vm.specification.version = 17
	java.vm.vendor = Eclipse Adoptium
	java.vm.version = 17.0.9+9
	javax.management.builder.initial = org.jboss.as.jmx.PluggableMBeanServerBuilder
	jboss.bind.address = 0.0.0.0
	jboss.bind.address.management = 0.0.0.0
	jboss.home.dir = /opt/wildfly
	jboss.host.name = 57a7ba6c44c9
	jboss.http.port = 8080
	jboss.https.port = 8443
	jboss.management.http.port = 9990
	jboss.management.https.port = 9993
	jboss.modules.system.pkgs = org.jboss.byteman
	jboss.node.name = 57a7ba6c44c9
	jboss.qualified.host.name = 57a7ba6c44c9
	jboss.redirect.https.port = 8443
	jboss.server.base.dir = /opt/wildfly/standalone
	jboss.server.config.dir = /opt/wildfly/standalone/configuration
	jboss.server.data.dir = /opt/wildfly/standalone/data
	jboss.server.log.dir = /opt/wildfly/standalone/log
	jboss.server.name = 57a7ba6c44c9
	jboss.server.persist.config = true
	jboss.server.temp.dir = /opt/wildfly/standalone/tmp
	jdk.debug = release
	jdk.serialFilter = maxbytes=10485760;maxdepth=128;maxarray=100000;maxrefs=300000
	line.separator = 

	logging.configuration = file:/opt/wildfly/standalone/configuration/logging.properties
	module.path = /opt/wildfly/modules
	native.encoding = UTF-8
	org.jboss.boot.log.file = /opt/wildfly/standalone/log/server.log
	org.jboss.resolver.warning = true
	os.arch = amd64
	os.name = Linux
	os.version = 6.8.0-65-generic
	path.separator = :
	sun.arch.data.model = 64
	sun.boot.library.path = /opt/java/openjdk/lib
	sun.cpu.endian = little
	sun.io.unicode.encoding = UnicodeLittle
	sun.java.command = /opt/wildfly/jboss-modules.jar -mp /opt/wildfly/modules org.jboss.as.standalone -Djboss.home.dir=/opt/wildfly -Djboss.server.base.dir=/opt/wildfly/standalone -b 0.0.0.0 -bmanagement 0.0.0.0 -c dcm4chee-arc.xml -Djboss.management.http.port=9990 -Djboss.management.https.port=9993 -Djboss.http.port=8080 -Djboss.https.port=8443 -Djboss.redirect.https.port=8443
	sun.java.launcher = SUN_STANDARD
	sun.jnu.encoding = UTF-8
	sun.management.compiler = HotSpot 64-Bit Tiered Compilers
	user.country = US
	user.dir = /
	user.home = /opt/wildfly
	user.language = en
	user.name = wildfly
	user.timezone = America/Argentina/Cordoba
2025-09-01 19:20:26,555 DEBUG [org.jboss.as.config] (MSC service thread 1-3) VM Arguments: -D[Standalone] -Djdk.serialFilter=maxbytes=10485760;maxdepth=128;maxarray=100000;maxrefs=300000 -Xms64m -Xmx512m -XX:MetaspaceSize=96M -XX:MaxMetaspaceSize=256m -Djava.net.preferIPv4Stack=true -Djboss.modules.system.pkgs=org.jboss.byteman -Djava.awt.headless=true --add-exports=java.desktop/sun.awt=ALL-UNNAMED --add-exports=java.naming/com.sun.jndi.ldap=ALL-UNNAMED --add-exports=java.naming/com.sun.jndi.url.ldap=ALL-UNNAMED --add-exports=java.naming/com.sun.jndi.url.ldaps=ALL-UNNAMED --add-exports=jdk.naming.dns/com.sun.jndi.dns=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.invoke=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.security=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.management/javax.management=ALL-UNNAMED --add-opens=java.naming/javax.naming=ALL-UNNAMED -Djava.security.manager=allow -Dorg.jboss.boot.log.file=/opt/wildfly/standalone/log/server.log -Dlogging.configuration=file:/opt/wildfly/standalone/configuration/logging.properties 
2025-09-01 19:20:27,125 INFO  [org.wildfly.security] (ServerService Thread Pool -- 26) ELY00001: WildFly Elytron version 2.2.2.Final
2025-09-01 19:20:27,657 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 33) WFLYCTL0028: Attribute 'cluster' in the resource at address '/subsystem=ejb3/service=remote' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2025-09-01 19:20:27,668 INFO  [org.jboss.as.server.deployment.scanner] (DeploymentScanner-threads - 1) WFLYDS0015: Re-attempting failed deployment dcm4chee-arc-ear-5.31.2-psql.ear
2025-09-01 19:20:27,854 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0041: Creating http management service using socket-binding (management-http) and secure-socket-binding (management-https)
2025-09-01 19:20:27,865 INFO  [org.xnio] (MSC service thread 1-6) XNIO version 3.8.11.Final
2025-09-01 19:20:27,870 INFO  [org.xnio.nio] (MSC service thread 1-6) XNIO NIO Implementation Version 3.8.11.Final
2025-09-01 19:20:27,899 INFO  [org.wildfly.extension.elytron.oidc._private] (ServerService Thread Pool -- 53) WFLYOIDC0001: Activating WildFly Elytron OIDC Subsystem
2025-09-01 19:20:27,902 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 55) WFLYCLINF0001: Activating Infinispan subsystem.
2025-09-01 19:20:27,902 INFO  [org.wildfly.extension.health] (ServerService Thread Pool -- 54) WFLYHEALTH0001: Activating Base Health Subsystem
2025-09-01 19:20:27,907 INFO  [org.jboss.as.jaxrs] (ServerService Thread Pool -- 57) WFLYRS0016: RESTEasy version 6.2.6.Final
2025-09-01 19:20:27,913 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 56) WFLYIO001: Worker 'default' has auto-configured to 16 IO threads with 128 max task threads based on your 8 available processors
2025-09-01 19:20:27,926 INFO  [org.jboss.as.jsf] (ServerService Thread Pool -- 62) WFLYJSF0007: Activated the following Jakarta Server Faces Implementations: [main]
2025-09-01 19:20:27,928 INFO  [org.wildfly.extension.microprofile.config.smallrye] (ServerService Thread Pool -- 65) WFLYCONF0001: Activating MicroProfile Config Subsystem
2025-09-01 19:20:27,932 INFO  [org.wildfly.extension.metrics] (ServerService Thread Pool -- 64) WFLYMETRICS0001: Activating Base Metrics Subsystem
2025-09-01 19:20:27,932 INFO  [org.wildfly.extension.microprofile.jwt.smallrye] (ServerService Thread Pool -- 66) WFLYJWT0001: Activating MicroProfile JWT Subsystem
2025-09-01 19:20:27,935 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0027: Starting deployment of "dcm4chee-arc-ui2-5.31.2.war" (runtime-name: "dcm4chee-arc-ui2-5.31.2.war")
2025-09-01 19:20:27,935 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) WFLYSRV0027: Starting deployment of "dcm4chee-arc-ear-5.31.2-psql.ear" (runtime-name: "dcm4chee-arc-ear-5.31.2-psql.ear")
2025-09-01 19:20:27,937 INFO  [org.jboss.as.connector] (MSC service thread 1-4) WFLYJCA0009: Starting Jakarta Connectors Subsystem (WildFly/IronJacamar 3.0.4.Final)
2025-09-01 19:20:27,939 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 67) WFLYNAM0001: Activating Naming Subsystem
2025-09-01 19:20:27,955 INFO  [org.jboss.remoting] (MSC service thread 1-7) JBoss Remoting version 5.0.27.Final
